ID,FREQ,aones,hisnow,FRICTION,expose,cpm,intpm,gbrpm,lowpre,ny
87,16,1,0,50.7,0.151039044,2.2435897435897436,0,3.5256410256410255,0,0.114285714
88,7,1,0,51,0.08479096,2.5,0,2.5,0,0.05
89,6,1,0,53,0.056463456,2.6785714285714284,0,1.7857142857142856,0,0.042857143
90,5,1,1,52,0.04537242,1.1111111111111112,0,1.1111111111111112,0,0.035714286
91,18,1,0,53.2,0.223569216,1.9230769230769231,0.2136752136752137,1.4957264957264957,0,0.128571429
92,16,1,0,55,0.293255016,1.4830508474576272,0.21186440677966104,0.6355932203389831,0,0.114285714
93,4,1,0,48.2,0.061892685,1.3215859030837005,0,0,1,0.028571429
94,3,1,0,48.2,0.013857735999999999,3.278688524590164,0,0,1,0.021428571
95,7,1,0,52.1,0.08746276,1.5584415584415585,0,0,1,0.05
96,9,1,0,54.5,0.032827516,1.0309278350515465,0,2.061855670103093,1,0.064285714
97,7,1,0,51.8,0.11752591200000001,1.530612244897959,1.0204081632653061,1.0204081632653061,1,0.05
98,11,1,0,46.8,0.256185324,0,0.35211267605633806,1.4084507042253522,1,0.078571429
99,3,1,0,52.5,0.028873544000000004,1.7857142857142856,0,3.571428571428571,1,0.021428571
100,0,1,0,48.5,0.10817797,2.3529411764705883,1.1764705882352942,2.3529411764705883,0,0
